No,大区分,区分,活動手法,概要
155,干潟,干潟・マングローブ林,客土(覆砂),浚渫⼟砂等を有効利⽤し、⼆枚⾙類が⽣息しやすい粒度組成の砂を補給する。公共事業によって⾏われる場合と地域の活動として⼈⼒によって⾏われる場合がある。
156,干潟,干潟・マングローブ林,稚貝等の着底促進,⽵材やプラスチック製の⽀柱、被覆網等を設置する。
157,干潟,干潟・マングローブ林,保護柵の設置,ヨシ帯前⾯に⽊柵等の保護策を設置する。
158,干潟,干潟・マングローブ林,ヨシ帯の刈り取り・間引き,ヨシの刈り取りや間引きにより、ヨシ種⼦の発芽促進等を図る。
159,干潟,干潟・マングローブ林,競合植物の駆除,⼤量繁茂によってヨシ帯の機能に悪影響を及ぼす⽔⽣植物（ホテイアオイ、ハス、ヒシ等）を除去する。
160,干潟,干潟・マングローブ林,ヨシの移植,春季に発芽した栄養株を採取して移植株とし、移植予定地に植え付ける。
161,干潟,干潟・マングローブ林,巡視・景観変化の確認,マングローブ林の景観の変化を巡視やドローン等により把握する。
162,干潟,干潟・マングローブ林,絶滅危惧種等の保全,絶滅危惧種等の⽣息・⽣育が「認められた」場合は、専⾨家に相談し、その保全に努める。
163,干潟,干潟・マングローブ林,周辺環境の維持・改善活動,漂着ごみの堆積が発⽣していないかを確認する。
164,干潟,干潟・マングローブ林,植栽,マングローブを構成する植物について、遺伝的攪乱の防⽌に配慮した苗⽊を植栽する（実⽣苗⼜は胎⽣種⼦の植え付け）。
165,干潟,干潟・マングローブ林,景観変化の把握,定期的に砂浜景観の変化を確認し、その規模や植物群落の変化を把握する。
166,干潟,干潟・マングローブ林,清掃活動,砂浜において漂着ごみの回収を⾏う。
167,干潟,干潟・マングローブ林,侵入防止対策,侵⼊防⽌柵やロープを設置して、⽴ち⼊り制限を⾏う。⽴ち⼊り禁⽌の看板を設置する。⼤きい流⽊等を海浜植物の周りに置く。
168,干潟,干潟・マングローブ林,競合植物の駆除,ススキ、チガヤ等の内陸性の植物などの海浜植物の競合種を駆除する。
169,干潟,干潟・マングローブ林,流域における植林,河川流域に確保した植林地に苗⽊を植える。
170,砂浜,砂浜,景観変化の把握,定期的に砂浜景観の変化を確認し、その規模や植物群落の変化を把握する。
171,砂浜,砂浜,清掃活動,砂浜において漂着ごみの回収を⾏う。
172,砂浜,砂浜,侵⼊防⽌対策,侵⼊防⽌柵やロープを設置して、⽴ち⼊り制限を⾏う。⽴ち⼊り禁⽌の看板を設置する。⼤きい流⽊等を海浜植物の周りに置く。
173,砂浜,砂浜,競合植物の駆除,ススキ、チガヤ等の内陸性の植物などの海浜植物の競合種を駆除する。
174,砂浜,砂浜,砂の供給（養浜）,排砂ゲートのあるダム等から砂の供給を⾏う。河道等に堆積した⼟砂を養浜材として活⽤し、沿岸漂砂の連続性を確保するサンドバイパス養浜やサンドリサイクル養浜を⾏う。
175,砂浜,砂浜,堆砂工,⾵⼒を和らげ⾃然の⼒で砂を堆積させるため、葦簀などを⽤いて堆砂垣等を設置する。
176,砂浜,砂浜,静砂工,地表⾯の砂の移動防⽌や植栽植物の⽣育環境の整備のため、地表を⽅形に区切り、藁等を列状に⽴て込むことで鎮砂をする。
177,砂浜,砂浜,覆砂工,葦簀等により地表⾯を全⾯被覆して、⾵の作⽤が直接地表に及ばないようにする。
178,砂浜,砂浜,表土の移植,海浜植物の根茎や種⼦を含んだ表⼟を適切な場所に撒きだして移植する。
179,砂浜,砂浜,海浜植物の移植,在来の海浜植物（ハマヒルガオ、ハマニガナ、ハマボウフウ、コウボウシバ等）の種⼦を採取し、育苗箱に播いて育苗し、育てた苗を植栽する。
